omega,a,action,Count
0.8,1.70707,1,0.0070947
0.8,1.70707,2,0.98734
0.8,1.70707,3,9.68e-05
0.8,1.70707,4,0.0054683
0.8,1.71717,1,0.0043456
0.8,1.71717,2,0.99154
0.8,1.71717,3,0.0004433
0.8,1.71717,4,0.0036716
0.8,1.72727,1,0.0050655
0.8,1.72727,2,0.98981
0.8,1.72727,3,5.07e-05
0.8,1.72727,4,0.0050734
0.8,1.73737,1,0.0051532
0.8,1.73737,2,0.987106
0.8,1.73737,3,0.0001041
0.8,1.73737,4,0.0076369
0.8,1.74747,1,0.0083842
0.8,1.74747,2,0.983119
0.8,1.74747,3,9.49e-05
0.8,1.74747,4,0.0084021
0.8,1.75758,1,0.0059219
0.8,1.75758,2,0.985589
0.8,1.75758,3,5.82e-05
0.8,1.75758,4,0.0084308
0.8,1.76768,1,0.0045965
0.8,1.76768,2,0.990771
0.8,1.76768,3,4.12e-05
0.8,1.76768,4,0.0045911
0.8,1.77778,1,0.0108717
0.8,1.77778,2,0.979574
0.8,1.77778,3,0.0001616
0.8,1.77778,4,0.0093923
0.8,1.78788,1,0.026105
0.8,1.78788,2,0.95109
0.8,1.78788,3,4.5e-05
0.8,1.78788,4,0.0227598
0.8,1.79798,1,0.0203073
0.8,1.79798,2,0.961283
0.8,1.79798,3,6.04e-05
0.8,1.79798,4,0.0183496
0.8,1.80808,1,0.0112499
0.8,1.80808,2,0.977427
0.8,1.80808,3,6.35e-05
0.8,1.80808,4,0.0112595
0.8,1.81818,1,0.0132347
0.8,1.81818,2,0.971476
0.8,1.81818,3,4.5e-05
0.8,1.81818,4,0.0152439
0.8,1.82828,1,0.033297
0.8,1.82828,2,0.933394
0.8,1.82828,3,1.76e-05
0.8,1.82828,4,0.0332917
0.8,1.83838,1,0.0334297
0.8,1.83838,2,0.932782
0.8,1.83838,3,0.0003795
0.8,1.83838,4,0.0334084
0.8,1.84848,1,0.0501521
0.8,1.84848,2,0.899313
0.8,1.84848,3,0.0002683
0.8,1.84848,4,0.0502667
0.8,1.85859,1,0.0493671
0.8,1.85859,2,0.89042
0.8,1.85859,3,0.0108434
0.8,1.85859,4,0.0493693
0.8,1.86869,1,0.0587346
0.8,1.86869,2,0.872279
0.8,1.86869,3,0.0139511
0.8,1.86869,4,0.0550358
0.8,1.87879,1,0.0863873
0.8,1.87879,2,0.817219
0.8,1.87879,3,0.0129354
0.8,1.87879,4,0.0834585
0.8,1.88889,1,0.0768541
0.8,1.88889,2,0.838784
0.8,1.88889,3,0.0075169
0.8,1.88889,4,0.076845
0.8,1.89899,1,0.0469281
0.8,1.89899,2,0.898038
0.8,1.89899,3,0.0064968
0.8,1.89899,4,0.048537
0.8,1.90909,1,0.0850722
0.8,1.90909,2,0.813921
0.8,1.90909,3,0.014826
0.8,1.90909,4,0.0861811
0.8,1.91919,1,0.0914216
0.8,1.91919,2,0.793822
0.8,1.91919,3,0.0235822
0.8,1.91919,4,0.0911739
0.8,1.92929,1,0.122304
0.8,1.92929,2,0.736841
0.8,1.92929,3,0.0185474
0.8,1.92929,4,0.122307
0.8,1.93939,1,0.14536
0.8,1.93939,2,0.662008
0.8,1.93939,3,0.0472735
0.8,1.93939,4,0.145359
0.8,1.94949,1,0.166855
0.8,1.94949,2,0.598195
0.8,1.94949,3,0.0680941
0.8,1.94949,4,0.166856
0.8,1.9596,1,0.146011
0.8,1.9596,2,0.619566
0.8,1.9596,3,0.0900146
0.8,1.9596,4,0.144408
0.8,1.9697,1,0.195008
0.8,1.9697,2,0.512025
0.8,1.9697,3,0.0979696
0.8,1.9697,4,0.194998
0.8,1.9798,1,0.191822
0.8,1.9798,2,0.455619
0.8,1.9798,3,0.161745
0.8,1.9798,4,0.190813
0.8,1.9899,1,0.223008
0.8,1.9899,2,0.310843
0.8,1.9899,3,0.244518
0.8,1.9899,4,0.221631
0.8,2,1,0.182166
0.8,2,2,0.357243
0.8,2,3,0.280903
